,brand,category,color,features,price,sales_rank,title
B00GCZ3CU2,NUC Kuvings,masticating,Silver,"[""2013 NUC Kuvings Galaxy GJ-330 Silent Juicer Slow Premium Extractor w/ Chopper Set  The Kuvings Silent Juicer is a universal juicer for all your needs. From firm carrots to fine wheatgrass (in smaller amounts) can be juiced.  Conventional juicers, grinding with high speed up to 3,000~15,000rpm, destroy  essential nutritions and enzymes.  Kuvings Silent Juicer on the other side keeps through its  especially developed Low Speed Extraction Method (80rpm), more nutrition and enzymes such as the natural color and taste of the juice.  Features : ? Brushless AC Powerful Motor - 3HP(squeezing power) of reduced gear. ? Low Speed Extraction Methods - 80rpm ? Variety functions - Extracting Vegetable juice, Soy juice, Fruit juice, homemade tofu and more are the functions of the appliance, which makes it convenient and faster to cook. ? Easy to assemble and dissemble the parts ? Two Step Safety precaution device - If all parts are assemble properly, and also the lid is close properly, then the device will appliance to work, without the steps the appliance won't start.  ? Handgrip able - Handgrip is attached to an appliance, which it makes convenient to use. ? Stylish new design - New compact and concept design juicer that brightens up your kitchen.   Specifications: Product Name - NUC Kuvings Galaxy Silent Juicer Model - GJ-330 Dimensions:  184 x 245 x 414mm Power Supply:  AC220V/ 60Hz Watte:  240W Weight:  10.5kg""]",$499.99,None,2013 NUC Kuvings Galaxy GJ-330 Silent Juicer Slow Premium Extractor w/ Chopper Set FAST EMS Shipping with FULL Tracking & Insurance
B00GDM2X1I,Omega,masticating,White,"['220 Volt operation - NOT intended for USA use.', 'Low Speed, Low RPM motor for Super Low Oxidation', 'BEST juicer on the market!', 'Great for all veggies, fruits, leafy greens & wheatgrass', 'Auto cleaning system, compact base takes up less counter space']",$365.00,1000592,Omega 220 Volt White-Vertical Masticating Hd Juicer Vrt352 W
B00GE9EBAQ,Hamilton Beach,masticating,Black,"['1.1 horsepower motor has the power to extract juice from the toughest produce', 'Extra-wide, 3-inch chute fits whole fruits and vegetables, eliminating extra prep time', 'Stainless steel cutter/strainer juices quickly', 'High juice spout funnels juice directly into a variety of glass and container sizes', 'Convenient 20-ounce juice container doubles as a serving pitcher']",$84.65,1134883,Hamilton Beach Big Mouth Pro Juice Extractor
B00GEDEJHC,Kenwood,masticating,White,"['2.1 liter bowl', 'Internal bowl drive', '2 speed plus pulse', 'Ultra compact space saving design', 'WILL NOT WORK IN USA/CANADA OUTLETS Made for 220/240 Volt Factory Made Overseas Use only Will not work in the USA']",$49.99,852812,"Bundle 2 Items: Kenwood je-280 Citrus Juicer, Acucraft Acupwr Plug Kit. WILL NOT WORK IN USA/CANADA OUTLETS, 220VOLT"
B00GIOMQJU,Total Chef,masticating,Black/Steel,"['Easy to use and clean up', ""Don't like pulp? No problem! Separates juice and pulp"", 'Enjoy healthy, fresh and great tasting fruit and vegetable juice at home', 'The unique slow grinding process makes a better tasting juice each and every time', 'Removable pulp container']",Too low to display,1320750,Total Chef TCSJ01 Slow Juicer
B00GKBD3KC,Yasheng,citrus,,"['Home and Garden', 'Kitchen and Dining', 'Peelers and Slicers']",$14.00,None,Stainless Steel Citrus Juicer and Slicer (Silver)
B00GL3G2CK,Nesco,centrifugal,,"['550 Watt motor', '3 Speeds: Low, High, Pulse', 'Separate pulp and juice collectors', 'Stainless steel filter and cutting blade', 'Detachable parts for easy clean up']",$129.99,978928,NEW! Nesco BH3337 Electric Kitchen Power Fruit/Vegetable Juicer Extractor Black
B00GM4AWNI,Tristar,centrifugal,Black,"['Inlcudes The Fusion Juicer, Plus Fusion Booster 300Watt Personal Blender and Recipe Guides!', 'Superior Extraction Technology with Non-Drip Spout', 'Extra Large Round Feeder Accomodates Most Fruits & Vegetables', 'Dishwasher Safe Parts', 'Whisper Quiet 3,600 RPM Motor']",$75.99,273083,"Fusion Juicer, Black/stainless Steel"
B00GOV6ZHQ,Salton,masticating,Stainless Steel/Black,"['Juice extractor & smoothie maker', 'Superior cold press technology thoroughly squeezes out the juice from fruits & vegetables', 'Includes two strainers; one for juicing and one to make smoothies, cleaning brush, pulp container, smoothie container and food pusher', 'Recipe and instruction booklet included', 'No mess sealable spout']",$147.99,718932,Salton JE1372PL Low Speed Juicer and Smoothie Maker
B00GR0O76U,Cilio,citrus,Black,"['Restaurant quality juice press makes juicing pomegranates, oranges, grapefruits, limes and lemons fast and easy', 'Long handle maximizes juice extraction and provides superior leverage', 'Constructed of cast aluminum; funnel and extractor made of stainless steel']",$124.61,438040,"Cilio ""The Press"" Juicer for Pomegranates and Citrus, Black"
B00GR79FJM,Chefs Star?,centrifugal,Stainless Steel,"['Easily fit whole fruits & vegetables for effortless juicing', 'Powerful 700 watt motor makes extracts juice a breeze', 'Extra large pulp bin allows you to juice much longer']",$49.98,125654,"Chef's Star Juc700 Juicer Wide Mouth Fruit and Vegetable Juice Extractor, Stainless Steel"
B00GRTAKHQ,Applica/Spectrum Brands,citrus,White,['WHT Citrus Juicer'],$15.74,1426167,Black & Decker Citrus Electric Juicer
B00GXERJ7Y,Cookinex,centrifugal,STAINLESS STEEL,[],$47.63,1191326,Cookinex KF-2500 2-Speed Juice Extractor
B00H01R06Y,BLACK+DECKER,masticating,,"['Fruit Tray For Easy Addition of Indgredients', '300 Watts of Power, Extract Juice Even From Hard Fruits, 2 Speed Operation', 'Oversea Use Only.', 'Stainless Steel Cutter Blade, Durable & Hygienic', '700ml Juice Container, Right Size for the Whole Family']",$99.98,None,"Bundle 2 Items: Black & Decker JE65 Juice Extractor, Acucraft Acupwr Plug Kit"
B00H0EMMAA,Preethi,centrifugal,White,"['Original Preethi Juicer Super Extractor Jar', 'Compatible with: Preethi Eco Twin, Eco Plus, Chef Pro, Lavender models', 'Capacity of 1.5 Liter', 'Whipper Blade Included', 'Polycarbonate Lid Included']",$19.68,277060,Preethi MGA-508E Super Juicer Extractor with Whipper Blade for Preethi Eco Twin/Eco Chef/Eco Plus
B00H70KN26,Oster,centrifugal,Orange,"['Compact and powerful design for easy storage-space saving', 'Dual-safety lock system', 'Stainless Steel blade disc', 'Powerful 400 Watt motor', 'Large capacity jar conveniently holds up to 20oz of juice']",$45.00,366929,"Oster FPSTJE31570 400-watt Compact Juice Extractor, 20-Ounce"
B00HH35NLE,Maxam,centrifugal,"Silver, black","['Two Speeds', 'Brushed Stainless Steel Finish', 'Pulp Container', '120V/60Hz']",$70.60,661175,KTJUICE8 - Maxam High-Speed Centrifugal Juicer
B00HLAOLBQ,Big Boss,centrifugal,Silver,"['3"" extra large whole apple feeder makes it easy to process fruits and vegetables without the mess of cutting and peeling', '2 speed operation- juices soft and hard fruits and vegetables', 'Lid with locking tabs for secure operation', 'Durable Stainless Steel housing', 'Easy to clean parts']",$74.29,379883,Big Boss 800-Watt Professional Series Juicer 2 Speed Wide Mouth Fruit & Vegetable Juice Extractor-Stainless Steel
B00HUEZA1I,RSVP,citrus,Silver,"['Made of stainless steel', 'Fits on 1 or 2 cup Pyrex style measuring cup', 'Silicone band holds juicer securely in place', 'Dishwasher safe', 'Product sold only on a custom RSVP Blister Card']",$12.86,31947,"RSVP Citrus Juicer By The Everyday Gourmet, Silver"
B00I3JE7M2,Tristar,centrifugal,Red,"['Watch-it-juice clear design', 'Superior extraction technology', 'Extra-large round feeder accommodates most fruits and vegetables', 'Whisper-quiet 3,600-RPM motor', 'BPA-FREE receptacle & components']",$72.01,250147,Jason Vale Fusion Juicer Centrifugal Extractor with Bonus Booster Blender
B00I3Y2KMQ,Kuvings,masticating,Silver,"[""Wide Feeding Chute for easy and fresh juicing Easy clean system Easy assembly Smart Cap Kuvings slow juicer's patented technology World's strongest brushless motor Crafted for safety"", 'Made of Ultem Tritan ABS and PC Premium design shape makes your kitchen more beautiful.', 'Easy clean system Smart Cap Convenient and Spotless Stop dripping Easily self rinse External rotating easy brush', 'Powerful 240W Motor Quiet operation Can process very fibrous fruits and vegetables Unit stays cool quiet and stable Dual safety system with 3-way ventilation 60 RPM 120 V', 'Unique patented technology called J.M.C.S (Juicer Module Comprising System) to extract\xa0nutrients', '110V USA/CANADA USE ONLY']",$379.00,50866,"Kuvings BPA-Free Whole Slow Juicer Silver B6000S with Sortbet Maker, Cleaning Tool Set, Smart Cap and Recipe Book"
B00I48NBJC,Nutrifaster,centrifugal,,[],"$2,886.75",1429678,Nutrifaster N450 Juicer - 1 Week Lead Time
B00I48Q6CG,SKYFOOD,centrifugal,,['HEAVY DUTY CITRUS JUICE EXTRACTOR 1/2 HP - STAINLESS STEEL JUICING HEAD - SKYFOOD'],$327.89,None,SKYFOOD ESBS Super HEAVY DUTY CITRUS JUICE EXTRACTOR 1/2 HP - STAINLESS STEEL JUICING HEAD
B00IBT9TBI,Breville,centrifugal,Clear,['Juice Jug with Froth Separator for the 800JEXL and JE98XL'],$41.39,50075,Breville Juice Jug with Froth Separator for the 800JEXL and JE98XL
B00IIRHCRQ,Salton,centrifugal,,"['225 wattts for extra juicing', 'Juices fruits & vegatables', 'Continous feed operation', 'Calibrated juice cup', 'Hidden cord storage']",,1156657,Salton Vitamin Bar Deluxe Juicer
B00IIS60SM,Nutrifaster,masticating,,[],"$1,449.99",1463232,Nutrifaster G160 Wheatgrass Juicer Model 400
B00IKVMBW6,Kuvings,masticating,White,"[""Wide Feeding Chute for easy and fresh juicing Easy clean system Easy assembly Smart Cap Kuvings slow juicer's patented technology World's strongest brushless motor Crafted for safety"", 'Made of Ultem Tritan ABS and PC Premium design shape makes your kitchen more beautiful.', 'Easy clean system Smart Cap Convenient and Spotless Stop dripping Easily self rinse External rotating easy brush', 'Powerful 240W Motor Minimal friction and noise Able to process very fibrous fruits and vegetables Unit stays cool quiet and stable Dual safety system with a 3-way ventilation 60 RPM 240W 120 V', 'Unique patented technology called J.M.C.S (Juicer Module Comprising System) to extract\xa0nutrients', '110V USA/CANADA USE ONLY']",$347.00,68187,"Kuvings Whole Slow Juicer White B6000W with Sortbet Maker, Cleaning Tool Set, Smart Cap and Recipe Book"
B00IKVOBP6,Kuvings,masticating,Red,"[""Wide Feeding Chute for easy and fresh juicing Easy clean system Easy assembly Smart Cap Kuvings slow juicer's patented technology World's strongest brushless motor Crafted for safety"", 'Made of Ultem Tritan ABS and PC Premium design shape makes your kitchen more beautiful.', 'Easy clean system Smart Cap Convenient and Spotless Stop dripping Easily self rinse External rotating easy brush', 'Powerful 240W Motor Minimal friction and noise Able to process very fibrous fruits and vegetables Unit stays cool quiet and stable Dual safety system with a 3-way ventilation 60 RPM 240W 120 V', 'Unique patented technology called J.M.C.S (Juicer Module Comprising System) to extract\xa0nutrients', '110V USA/CANADA USE ONLY']",$390.81,185491,"Kuvings BPA-Free Whole Slow Juicer B6000PR, Red, includes Smoothie and Sorbet Strainer"
B00IOEXWQI,Kalorik,masticating,Black And Stainless Steel,"['1 quart container for juice and 1 quart for pulp', 'Extracts more juice than the classic centrifugal juicers and produces juice of better quality and taste', 'Durable and low-noise DC Motor allows perfect juice output (Low Noise and Slow Speed 80RPM)', '4 suction feet', 'Dishwasher safe detachable parts']",Too low to display,520751,Kalorik FE 40764 SS Stainless Steel Slow Juicer
B00IORZABA,Omega,masticating,Red,"['Omega reconditions & certifies every unit, ships in the same box as a new unit w/the same accessories', ""Includes a 7 year manufacturer's warranty"", 'Ships within 24 hours', 'Low speed juicing prevents oxidation on degradation of juice', 'Capable of juicing wheatgrass at high yield, Auto cleaning system']",$249.99,152649,Omega VRT350Rx Heavy Duty Dual-Stage Vertical Single Auger Low Speed Juicer VRT350 - VRT350HD (Certified Refurbished)
B00IT8X59S,Frigidaire,masticating,Black,"['220-240 Volt/50 Hz, Juice Extractor/Blender', '1.5 Liter Transparent Plastic Jar, 1.5 Liter Pulp container and 550ml Juice Cup Capacity', '2 Speeds, Rotary switch', '400 Watts Power, Stainless steel blades and filter basket for much sanitary', 'This product is made to use overseas This will not work in the US']",$63.24,568288,Frigidaire FD5181 Juice Extractor/Blender 220-240 volts (Not for USA)
B00IUN9TIS,Daewoo,citrus,Black,"['Detachable Parts For Easy Cleaning', 'Bi-Directional Rotation For Maximum Juice Extraction', 'Adjustable Pulp Strainer', 'Transparent Dust Cover Included', '220-240V 50Hz 25 Watts']",$19.99,267246,"Daewoo DI-8081 220-240V Citrus Juicer, Black"
B00IYIETAM,Braun,citrus,White,"['Tribute Collection Citrus Juicer/ Diswasher safe', 'Direct Serve ; Anti-Drip system/ Automatic start-stop', 'Powerful 60W motor', '220V Will Not Work In USA', 'European Version - Will not work in USA']",$49.99,80766,"Braun CJ3050 TributeCollection Citrus Juicer, 220-volt (Not for USA - European Cord)"
B00J1ZC8KA,Food Pusher for the breville BJE200XL juicer,centrifugal,,['Food Pusher for the breville BJE200XL juicer'],,1647302,Food Pusher for the Breville Bje200xl Juicer
B00J4Y9TY6,Juice 2100,centrifugal,,"['Juice 2100 High Performance Juice Extractor Set with stainless steel blades and safety locking system.', 'Stainless steel blades and spout are durable and rust resistant.', 'Safety locking system is desirable to prevent injury.', 'Chute is large capacity.', 'Basket holds a large quantity of juice.']",$194.99,None,Juice 2100 High Performance Juice Extractor Set
B00J6UU7RG,ieasysexy,citrus,,"['Bowl Size(approx.): W 6 3/4"" x H 2"" (17cm x 5cm)', 'squeezer Size(approx.): D 5 1/4"" x H 2 3/8"" (13.3cm x 6cm)', 'Material: Stainless steel', 'Extract all the juice without the rind , pulp or seeds - and get every last drop', ""Long lasting, moisture, heat and stain - resistant, won't absorb odors""]",$12.95,204069,Uhome 2014 style Hand Juice Squeeze/ Manual juicer Lemon juice pressure device fruit and vegetable juice extractor Orange Lime Lemon Fruit Squeezer Maker with Bowl Houseware for Home Bar Kitchen
